entity_id,average_login_hour,login_hour_std,average_daily_logins,average_session_duration,preferred_auth_method,preferred_geo_location,preferred_device,preferred_resource
006ed6e3-6fa1-4735-b572-f3d00b5cea6a,15.307692307692308,2.4625398604088757,1.8571428571428572,1590.3076923076924,password,Haiti,Firmware v1.2 | MAC: b8:dc:23:a9:a0:3f | TCP/IP,/etc/passwd
016b6287-b008-45cc-a7f3-6ae925c73c44,9.571428571428571,2.0632844828435215,3.0,1355.5714285714287,token,Slovakia (Slovak Republic),macOS 14 | MAC: 8e:d9:70:5a:ed:19 | TCP/IP,/api/v1/data
033d2bce-575a-4d2c-a5c5-650c8186a576,3.0,0.0,1.0,0.0,password,Russia,Ubuntu 22.04 | MAC: a2:d7:fa:36:dd:b9 | TCP/IP,login_endpoint
09cb3942-43f5-4a85-bbc9-f87af668a617,10.3,2.5360557855395096,3.3333333333333335,1437.1,password,Guatemala,macOS 13 | MAC: 40:a0:df:3b:c5:61 | TCP/IP,file_share
0bbb2599-11ce-4dd2-b45e-d1f03139d32c,8.294117647058824,4.149769660510582,2.4285714285714284,1392.8235294117646,token,Belgium,macOS 14 | MAC: a2:77:33:c2:8e:e8 | TCP/IP,sensitive_db
157d94a1-06f0-48ff-a9ba-5a27907bfe36,13.714285714285714,1.4898926873369847,2.0,2024.0714285714287,password,Tonga,Windows 11 | MAC: 52:ec:5d:19:85:c2 | TCP/IP,/etc/passwd
17a0df49-0d01-480f-989a-40c0e87d1c78,14.181818181818182,2.084783045383942,3.142857142857143,1872.0454545454545,certificate,Aruba,macOS 14 | MAC: bc:01:aa:42:86:52 | TCP/IP,db_query
1c11f735-dc71-4d96-8c0f-d195c17af08a,8.793103448275861,1.9708466336074888,4.142857142857143,1680.4827586206898,certificate,Somalia,Windows 11 | MAC: 86:d8:20:c5:c3:ef | TCP/IP,file_share
1d48a071-ab61-47b1-b93b-4c3220500494,3.0,0.0,1.0,0.0,password,Russia,Windows 11 | MAC: 9a:6f:ee:83:bc:55 | TCP/IP,login_endpoint
1f115b76-d92c-4227-aadf-50853fcb7546,12.153846153846153,2.075498086651083,2.6,1666.8461538461538,token,Papua New Guinea,macOS 14 | MAC: be:a2:e2:da:e4:51 | TCP/IP,file_share
27cb6f2a-8da0-4097-be0f-051b1b66b5a9,7.4,1.2983506020002018,2.142857142857143,2121.133333333333,password,Saint Barthelemy,Windows 10 | MAC: e6:af:68:87:fa:80 | TCP/IP,system_config
30beb45f-6835-44f2-8eb8-1f9d7914c120,14.0,2.215646837627989,2.0,1709.75,token,Guinea,Firmware v1.2 | MAC: 0e:d8:d2:ef:1b:32 | TCP/IP,db_query
314d3441-b8a6-471f-9ee3-4dc43b048a8b,3.0,0.0,1.0,0.0,password,Russia,Windows 10 | MAC: bc:a1:3d:5e:62:6e | TCP/IP,login_endpoint
3dc98290-15ea-4b27-b0e9-12f2f2b43abf,3.0,0.0,1.0,0.0,password,Russia,Ubuntu 22.04 | MAC: 72:d0:fa:7b:f3:fb | TCP/IP,login_endpoint
3f76be1d-1efa-4197-b394-988f847fd9b4,14.481481481481481,1.888637489554723,3.857142857142857,1977.6666666666667,certificate,Angola,Firmware v1.2 | MAC: 3a:75:70:03:24:1e | TCP/IP,/etc/passwd
425a609f-7337-4599-b984-4388dc8aee30,11.92,1.6812693617224659,3.5714285714285716,1397.4,biometric,Seychelles,Windows 10 | MAC: b6:f8:7a:8c:e1:27 | TCP/IP,system_config
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,14.5,2.350811729908136,2.857142857142857,1801.2,token,Mauritania,Ubuntu 22.04 | MAC: 92:3f:c1:28:96:b9 | TCP/IP,db_query
43e42caf-8181-48cc-b691-47eb89a2688b,14.26923076923077,1.8012815950359862,3.7142857142857144,1625.9615384615386,certificate,Turkmenistan,macOS 14 | MAC: 70:23:7d:bd:91:50 | TCP/IP,file_share
43ff5011-3d1a-45dd-906e-5a9ab758588d,14.08,2.361496700541135,3.5714285714285716,2150.76,password,Kuwait,macOS 13 | MAC: 12:a1:25:04:ea:33 | TCP/IP,file_share
4774bc58-c5f8-4c16-b786-0b5011c58ef0,12.166666666666666,2.124888588879783,2.0,1220.5,token,Philippines,Firmware v1.2 | MAC: 94:a9:0e:3b:85:5b | TCP/IP,/api/v1/data
