entity_id,entity_type,timestamp,source_ip,geo_location,resource_accessed,auth_method,session_duration,command_sequence,device_fingerprint,login_success,label
245d53ff-bae8-4a18-8c4f-e0af35b73fe6,User,2026-06-25 05:58:51,143.241.16.187,"Zacharyfurt, Ecuador",HRIS,Password,0,N/A,Unknown Script/Bot,False,BruteForce
245d53ff-bae8-4a18-8c4f-e0af35b73fe6,User,2026-06-25 05:58:53,143.241.16.187,"Thomasview, Japan",HRIS,Password,0,N/A,Unknown Script/Bot,False,BruteForce
245d53ff-bae8-4a18-8c4f-e0af35b73fe6,User,2026-06-25 05:58:56,143.241.16.187,"Hawkinsshire, Norway",HRIS,Password,0,N/A,Unknown Script/Bot,False,BruteForce
245d53ff-bae8-4a18-8c4f-e0af35b73fe6,User,2026-06-25 05:58:57,143.241.16.187,"Kimberlyland, Poland",HRIS,Password,0,N/A,Unknown Script/Bot,False,BruteForce
245d53ff-bae8-4a18-8c4f-e0af35b73fe6,User,2026-06-25 05:58:58,143.241.16.187,"Perezfurt, Falkland Islands (Malvinas)",HRIS,Password,0,N/A,Unknown Script/Bot,False,BruteForce
245d53ff-bae8-4a18-8c4f-e0af35b73fe6,User,2026-06-25 05:58:59,143.241.16.187,"South Baileyport, Belgium",HRIS,Password,0,N/A,Unknown Script/Bot,False,BruteForce
245d53ff-bae8-4a18-8c4f-e0af35b73fe6,User,2026-06-25 05:58:59,143.241.16.187,"Gregoryborough, Lebanon",HRIS,Password,0,N/A,Unknown Script/Bot,False,BruteForce
245d53ff-bae8-4a18-8c4f-e0af35b73fe6,User,2026-06-25 05:59:00,143.241.16.187,"Lake Annborough, Christmas Island",HRIS,Password,0,N/A,Unknown Script/Bot,False,BruteForce
245d53ff-bae8-4a18-8c4f-e0af35b73fe6,User,2026-06-25 05:59:01,143.241.16.187,"Kellyshire, French Southern Territories",HRIS,Password,0,N/A,Unknown Script/Bot,False,BruteForce
245d53ff-bae8-4a18-8c4f-e0af35b73fe6,User,2026-06-25 05:59:06,143.241.16.187,"South Brendanstad, Cape Verde",HRIS,Password,0,N/A,Unknown Script/Bot,False,BruteForce
245d53ff-bae8-4a18-8c4f-e0af35b73fe6,User,2026-06-25 05:59:07,143.241.16.187,"Dunnberg, Gibraltar",HRIS,Password,0,N/A,Unknown Script/Bot,False,BruteForce
245d53ff-bae8-4a18-8c4f-e0af35b73fe6,User,2026-06-25 05:59:08,143.241.16.187,"North Mark, Hong Kong",HRIS,Password,0,N/A,Unknown Script/Bot,False,BruteForce
245d53ff-bae8-4a18-8c4f-e0af35b73fe6,User,2026-06-25 05:59:09,143.241.16.187,"Smithtown, Nauru",HRIS,Password,0,N/A,Unknown Script/Bot,False,BruteForce
245d53ff-bae8-4a18-8c4f-e0af35b73fe6,User,2026-06-25 05:59:13,143.241.16.187,"West Elizabethfurt, Kyrgyz Republic",HRIS,Password,0,N/A,Unknown Script/Bot,False,BruteForce
245d53ff-bae8-4a18-8c4f-e0af35b73fe6,User,2026-06-25 05:59:17,143.241.16.187,"Karentown, Myanmar",HRIS,Password,0,N/A,Unknown Script/Bot,False,BruteForce
245d53ff-bae8-4a18-8c4f-e0af35b73fe6,User,2026-06-25 05:59:17,143.241.16.187,"New Benjamin, Zambia",HRIS,Password,0,N/A,Unknown Script/Bot,False,BruteForce
245d53ff-bae8-4a18-8c4f-e0af35b73fe6,User,2026-06-25 05:59:18,143.241.16.187,"New Morgan, Korea",HRIS,Password,0,N/A,Unknown Script/Bot,False,BruteForce
245d53ff-bae8-4a18-8c4f-e0af35b73fe6,User,2026-06-25 05:59:19,143.241.16.187,"Romerofort, Cuba",HRIS,Password,0,N/A,Unknown Script/Bot,False,BruteForce
245d53ff-bae8-4a18-8c4f-e0af35b73fe6,User,2026-06-25 05:59:21,143.241.16.187,"Lake Johnborough, Uzbekistan",HRIS,Password,0,N/A,Unknown Script/Bot,False,BruteForce
